,Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
0,hot_JJ,186,23908,"['hot_JJ', 'hot_JJS']",-7.006047016,11.21309115,69,22790,['hot_JJ'],-8.367588847,10.092699699999999
1,taste_NN,92,10719,"['taste_NN', 'taste_NNS']",-6.8643207429999995,12.22868801,153,10719,"['taste_NN', 'taste_NNS']",-6.130494857,8.943836313
2,finger_NN,90,10143,"['finger_NNS', 'finger_NN']",-6.816343705,12.26039687,154,10509,"['finger_NNS', 'finger_NN', 'finger_NNP']",-6.092551232999999,8.934437615
3,soul_NN,146,15153,"['soul_NNS', 'soul_NN', 'soul_NNP']",-6.697491267999999,11.5624254,65,15181,"['soul_NN', 'soul_NNS', 'soul_NNP']",-7.867611393,10.17885634
4,nice_JJ,201,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-6.692272845,11.10119827,234,20453,"['nice_JJ', 'nice_JJR']",-6.44966013,8.330859436
5,cool_JJ,131,13272,"['cool_JJ', 'cool_JJR', 'cool_JJS']",-6.662675169,11.71882696,42,12873,"['cool_JJ', 'cool_JJR']",-8.259743263999999,10.80890673
6,skin_NN,214,21649,"['skin_NN', 'skin_NNS']",-6.6605457789999996,11.01078298,111,21921,"['skin_NN', 'skin_NNP', 'skin_NNS']",-7.625610126000001,9.406808288999999
7,soft_JJ,146,13854,"['soft_JJ', 'soft_JJR', 'soft_JJS']",-6.568190400000001,11.5624254,91,13854,"['soft_JJ', 'soft_JJS', 'soft_JJR']",-7.250220317999999,9.693429515
8,never_RB,1362,117774,['never_RB'],-6.434150569,8.340738974,318,117774,['never_RB'],-8.532778602,7.888341199999999
9,inner_JJ,124,10206,['inner_JJ'],-6.362933616,11.79805365,32,10206,['inner_JJ'],-8.317129926,11.20122416
10,leg_NN,170,13974,"['leg_NNS', 'leg_NN']",-6.361066489,11.34285903,50,13974,"['leg_NNS', 'leg_NN']",-8.126601235,10.55736797
11,sense_NN,931,61765,['sense_NN'],-6.051864567999999,8.889612604,152,61765,['sense_NN'],-8.666574412000001,8.953296642
12,funny_JJ,89,5822,"['funny_JJ', 'funny_JJS']",-6.031565692999999,12.27651653,30,5648,"['funny_JJ', 'funny_JJR']",-7.556633777999999,11.29433356
13,breath_NN,125,8057,"['breath_NN', 'breath_NNS', 'breath_NNP']",-6.010242756,11.78646568,23,7962,"['breath_NN', 'breath_NNS']",-8.4353532,11.677662199999999
14,consciousness_NN,148,9299,['consciousness_NN'],-5.973406497999999,11.5427966,34,9299,['consciousness_NN'],-8.095397023,11.11376131
15,cold_JJ,325,19162,"['cold_JJ', 'cold_JJR', 'cold_JJS']",-5.8816646189999995,10.40795405,55,18858,"['cold_JJ', 'cold_JJR']",-8.421529344,10.41986444
16,physically_RB,152,8894,['physically_RB'],-5.870689176,11.50432245,24,8894,['physically_RB'],-8.533654189,11.61626165
17,personally_RB,264,13182,['personally_RB'],-5.6418875360000005,10.70785584,31,13182,['personally_RB'],-8.732085345,11.24702784
18,slight_JJ,164,8050,"['slight_JJ', 'slight_JJS', 'slight_JJR']",-5.617221063,11.39469796,29,8027,"['slight_JJS', 'slight_JJ']",-8.112664187,11.34324316
19,smell_VB,88,3703,"['smell_VBZ', 'smell_VBD', 'smell_VB', 'smell_VBN', 'smell_VBP', 'smell_VBG']",-5.395047216,12.29281834,126,3702,"['smell_VBP', 'smell_VBN', 'smell_VBG', 'smell_VBD', 'smell_VB', 'smell_VBZ']",-4.8768092560000005,9.223944232000001
20,warm_JJ,475,16623,"['warm_JJ', 'warm_JJR', 'warm_JJS']",-5.1291094489999995,9.860466258999999,68,16220,"['warm_JJ', 'warm_JJR']",-7.898023358,10.11376131
21,deeply_RB,388,12093,"['deeply_RB', 'deeply_RBR']",-4.961971726,10.15233712,131,12093,"['deeply_RB', 'deeply_RBR']",-6.528461567000001,9.167801154
22,compassion_NN,160,4728,"['compassion_NN', 'compassion_NNP']",-4.885086225,11.43032187,11,4728,"['compassion_NN', 'compassion_NNP']",-8.747582702,12.74179254
23,painful_JJ,207,5874,['painful_JJ'],-4.8266405930000005,11.058763,21,5874,['painful_JJ'],-8.127810128,11.80890673
24,emotion_NN,524,9705,"['emotion_NNS', 'emotion_NN']",-4.2110894960000005,9.71882696,46,9705,"['emotion_NNS', 'emotion_NN']",-7.720950542000001,10.677662199999999
25,sensation_NN,355,5193,"['sensation_NNS', 'sensation_NN']",-3.870677296,10.28057475,80,5199,"['sensation_NN', 'sensation_NNS']",-6.022090345,9.87929606
26,warmth_NN,190,2539,['warmth_NN'],-3.740189071,11.18239435,20,2539,['warmth_NN'],-6.988116585,11.87929606
27,pleasant_JJ,515,6219,['pleasant_JJ'],-3.59403828,9.74382134,20,6219,['pleasant_JJ'],-8.280538807000001,11.87929606
