,Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
0,acrid_JJ,27,114,['acrid_JJ'],-2.078002512,9.397872667,8,114,['acrid_JJ'],-3.8328900139999997,12.53031489
1,fishy_JJ,27,177,['fishy_JJ'],-2.712718048,9.397872667,9,179,"['fishy_JJ', 'fishy_JJR']",-4.313890776,12.36038988
2,pungent_JJ,39,396,['pungent_JJ'],-3.3439544010000004,8.86735795,10,396,['pungent_JJ'],-5.307428525,12.20838679
3,cognizable_JJ,9,163,['cognizable_JJ'],-4.1788031530000005,10.98283517,14,163,['cognizable_JJ'],-3.5413732319999998,11.72295996
4,odour_NN,19,373,"['odour_NN', 'odour_NNS']",-4.295104307,9.904832655,74,373,"['odour_NNS', 'odour_NN']",-2.333578455,9.32086152
5,foul_JJ,73,1550,"['foul_JJ', 'foul_JJS']",-4.408227941,7.96293561,41,1531,['foul_JJ'],-5.222706563,10.17276288
6,tactile_JJ,33,779,['tactile_JJ'],-4.5610853989999995,9.108366048999999,49,779,['tactile_JJ'],-3.9907696739999996,9.915605041000001
7,odor_NN,106,3329,"['odor_NNS', 'odor_NN']",-4.9729527010000005,7.424839714,122,3374,"['odor_NN', 'odor_NNS', 'odor_NNP']",-4.789506921,8.599577548
8,aroma_NN,31,977,"['aroma_NN', 'aroma_NNS']",-4.978018442,9.198563858,38,977,"['aroma_NN', 'aroma_NNS']",-4.684287239,10.28238737
9,scent_NN,40,1511,"['scent_NN', 'scent_NNS']",-5.23935985,8.830832074,19,1509,"['scent_NNS', 'scent_NN']",-6.311449577,11.28238737
10,earthy_JJ,11,475,['earthy_JJ'],-5.432352085,10.69332855,8,475,['earthy_JJ'],-5.891783703,12.53031489
11,sweet_JJ,155,7186,"['sweet_JJ', 'sweet_JJS', 'sweet_JJR']",-5.534848815,6.8766357639999995,177,7186,"['sweet_JJ', 'sweet_JJR', 'sweet_JJS']",-5.34336767,8.062709335
12,freshly_RB,24,1142,['freshly_RB'],-5.572384435,9.567797667999999,8,1142,['freshly_RB'],-7.157346935,12.53031489
13,sour_JJ,21,1043,['sour_JJ'],-5.63420602,9.760442746,57,1043,['sour_JJ'],-4.193633428,9.697424871
14,agreeable_JJ,21,1071,['agreeable_JJ'],-5.672425342,9.760442746,22,1071,['agreeable_JJ'],-5.605311146,11.07088327
15,sight_NN,224,12591,"['sight_NNS', 'sight_NN', 'sight_NNP']",-5.812750327000001,6.345405247,125,12496,"['sight_NN', 'sight_NNS']",-6.643394452999999,8.564530601
16,smoke_NN,149,9434,"['smoke_NN', 'smoke_NNP']",-5.984485365,6.933591647999999,32,9185,['smoke_NN'],-8.165064006,10.53031489
17,curry_VB,9,598,"['curry_VB', 'curry_VBP']",-6.054076673,10.98283517,11,598,"['curry_VB', 'curry_VBP']",-5.764570056,12.07088327
18,garlic_NN,18,1293,['garlic_NN'],-6.166581558,9.982835167000001,11,1383,"['garlic_NN', 'garlic_NNP']",-6.974153822999999,12.07088327
19,sens_NN,47,3703,['sens_NNS'],-6.299889982000001,8.598171317,48,3703,['sens_NNS'],-6.269516332999999,9.945352385
20,touch_NN,135,13184,"['touch_NN', 'touch_NNP', 'touch_NNS']",-6.60968493,7.075944572,149,13184,"['touch_NN', 'touch_NNP', 'touch_NNS']",-6.467332007,8.311146365
